,B/L Number,B/L Weight (LB),Plt,City,State,Latitude,Longitude,cluster,group
0,W41A727,5894.0,14,WOOD DALE,IL,41.9633625,-87.9789562,0,1
26,W42B108,14465.0,11,NORTHLAKE,IL,41.9172526,-87.8956185,0,1
1,W41A919,28519.0,19,CROWLEY,LA,30.2175,-92.3752,1,2
2,W41A929,6440.0,5,TUPELO,MS,34.2692,-88.7318,2,3
52,W43A226,12438.0,9,CORONA,CA,33.8752935,-117.5664384,3,4
24,W42B056,9025.0,9,COMPTON,CA,33.8958492,-118.2200712,3,4
3,W41C097,5478.0,6,ONTARIO,CA,34.0633443,-117.6508876,3,4
15,W42A739,7680.0,5,GRAND PRAIRIE,TX,32.7459645,-96.9977846,4,5
10,W42A395,4392.0,12,IRVING,TX,32.8140177,-96.9488945,4,5
47,W43A196,2740.0,4,FORT WORTH,TX,32.7817,-97.3474,4,5
48,W43A199,744.0,2,SUNNYVALE,TX,32.7974,-96.5577,4,5
4,W41D848,7680.0,6,DALLAS,TX,32.7766642,-96.7969879,4,5
7,W42A210,7345.0,5,LEBANON,TN,36.2081098,-86.2911024,5,6
38,W42D189,8960.0,7,GALLATIN,TN,36.3883432,-86.4463663,5,6
5,W42A038,9745.0,10,LA VERGNE,TN,36.0156178,-86.5819394,5,6
6,W42A152,7820.0,19,RUFFS DALE,PA,40.1750715,-79.6080956,6,7
8,W42A330,9002.0,7,APPLETON,WI,44.2619309,-88.4153847,7,8
9,W42A379,9474.0,7,TULSA,OK,36.1539816,-95.992775,8,9
11,W42A481,2482.0,2,SAN DIEGO,CA,32.715738,-117.1610838,9,10
12,W42A585,2560.0,2,RIPLEY,TN,35.7449,-89.5358,10,11
13,W42A639,26624.0,26,MORRISTOWN,NJ,40.7967,-74.4772,11,12
14,W42A707,5641.0,4,BOWLING GREEN,OH,41.3776,-83.6495,12,13
16,W42A778,7446.0,6,PARIS,TN,36.3020023,-88.3267107,13,14
50,W43A211,3660.0,10,VACAVILLE,CA,38.3565773,-121.9877444,14,15
37,W42C347,3660.0,10,UNION CITY,CA,37.59577,-122.01913,14,15
27,W42B109,19549.0,13,STOCKTON,CA,37.9577016,-121.2907796,14,15
23,W42B032,8154.0,6,NEWARK,CA,37.5299765,-122.0383968,14,15
17,W42A800,4662.0,4,BENICIA,CA,38.049365,-122.1585777,14,15
20,W42A998,3840.0,3,VACAVILLE,CA,38.3565773,-121.9877444,14,15
18,W42A869,5332.0,4,TAMPA,FL,27.9516896,-82.4587527,15,16
19,W42A899,4460.0,10,TAMPA,FL,27.9516896,-82.4587527,15,16
21,W42B020,13571.0,9,DENISON,TX,33.7672,-96.5808,16,17
22,W42B028,10333.0,7,TUCSON,AZ,32.2539787,-110.9741769,17,18
25,W42B099,2560.0,2,PRATTVILLE,AL,32.4597,-86.4573,18,19
28,W42B194,7445.0,5,FRESNO,CA,36.7377981,-119.7871247,19,20
31,W42B287,6935.0,5,RIVERDALE,CA,36.431061,-119.8595833,19,20
29,W42B235,10441.0,14,SAN ANTONIO,TX,29.4251905,-98.4945922,20,21
45,W43A083,8541.0,9,LEBANON,OH,39.4254,-84.2133,21,22
30,W42B251,6678.0,9,WALTON,KY,38.8756194,-84.6102213,21,22
32,W42B306,7340.0,6,SIOUX CITY,IA,42.4959,-96.3901,22,23
33,W42B356,20016.0,14,LYONS,GA,32.2062,-82.3215,23,24
34,W42B357,11507.0,10,WAUSAU,WI,44.9591352,-89.6301221,24,25
35,W42B939,6052.0,4,CLOVIS,NM,34.4047987,-103.2052272,25,26
36,W42C078,1382.0,1,BIRMINGHAM,AL,33.5279,-86.7971,26,27
39,W42D298,30202.0,23,CALHOUN,GA,34.502587,-84.9510542,27,28
40,W42E243,1075.0,1,HIGH RIDGE,MO,38.4608,-90.5338,28,29
41,W43A005,16542.0,13,TYLER,TX,32.3184,-95.3062,29,30
42,W43A009,1280.0,1,COLLEGE PARK,GA,33.6363,-84.464,30,31
43,W43A010,2560.0,2,MIAMI,FL,25.7616798,-80.1917902,31,32
44,W43A031,10680.0,10,CLACKAMAS,OR,45.4135,-122.5469,32,33
46,W43A138,1996.0,2,SIOUX FALLS,SD,43.5396,-96.7311,33,34
49,W43A200,744.0,2,JACKSONVILLE,FL,30.3321838,-81.655651,34,35
51,W43A219,13015.0,19,JACKSONVILLE,FL,30.3321838,-81.655651,34,35
53,WX42C07,4096.0,4,SHREVEPORT,LA,32.4653,-93.7955,35,36
