,SITE,B/L Number,B/L Weight (LB),Freight Amount ($),Truck Appt. Time,State,Ship to City,Ship to Customer,Order Number,Order Item,CSR,Freight Term,Unshipped Weight (Lb),Product Code,Pick Weight (Lb),Number of Pallet,Pickup By,Carrier ID,Arrange By,Unit Freight (cent/Lb),Waybill Number,Sales Code,Transportation Code,Transaction Type,Product Group,report_run,report_hour,report_date,Truck Appointment Date,PickUp Date,Require Date,Schedule Date,Change Date,file_name,index,City,Latitude,Longitude
0,AMAZ,WZ2A087,9078.0,0.0,,NM,CLOVIS,SOUTHWEST CHEESE CO LLC,W42A087,1.0,EV,P,9077.76,EHB0801976000AM-40,9078.0,6,IPAMMK0F,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-03-01,2024-03-01,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,1.0,CLOVIS,34.4047987,-103.2052272
1,AMAZ,WZ2A087,9078.0,0.0,,NM,CLOVIS,SOUTHWEST CHEESE CO LLC,W42A087,1.0,EV,P,9077.76,EHB0801976000AM-40,9078.0,6,IPAMMK0F,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-01,2024-03-01,2024-03-01,2024-03-01,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,11.0,CLOVIS,34.4047987,-103.2052272
2,AMAZ,WZ2A296,3895.0,0.0,,WA,BLAINE,CROWN PACKAGING/IPS,W42A296,1.0,SV,P,11682.0,ELB0552956000AM-20,3895.0,5,IPAMMK0M,,,0.0,,SWZU,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-03-04,2024-03-13,2024-03-13,2024-03-04,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,,,,
3,AMAZ,WZ2A325,6205.0,0.0,,AZ,PHOENIX,AMERICAN MACHINERY PACKAGING,W42A325,2.0,SV,F,6205.5,EHB0631975000AM-50,6205.0,5,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-02-29,2024-02-29,2024-02-26,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,5.0,PHOENIX,33.4483771,-112.0740373
4,AMAZ,WZ2A325,6205.0,0.0,,AZ,PHOENIX,AMERICAN MACHINERY PACKAGING,W42A325,2.0,SV,F,6205.5,EHB0631975000AM-50,6205.0,5,IPAMMK0M,,,0.0,,SWCK,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-26,2024-02-29,2024-02-29,2024-02-26,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,15.0,PHOENIX,33.4483771,-112.0740373
5,AMAZ,WZ2A399,3370.0,0.0,,CA,FONTANA,WORLD CLASS DISTRIBUTION - FONTANA,W42A399,1.0,JUS,P,3372.32,PSB0301701476P815-112P,3370.0,10,CMHQAA7T,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-27,2024-03-12,2024-03-12,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,6.0,FONTANA,34.0922335,-117.435048
6,AMAZ,WZ2A399,3370.0,0.0,,CA,FONTANA,WORLD CLASS DISTRIBUTION - FONTANA,W42A399,1.0,JUS,P,3372.32,PSB0301701476P815-112P,3370.0,10,CMHQAA7T,,,0.0,,SWJV,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-27,2024-03-12,2024-03-12,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,16.0,FONTANA,34.0922335,-117.435048
7,AMAZ,WZ2A502,23192.0,0.0,,CA,CORONA,TRM MANUFACTURING,W42A502,1.0,JZU,P,23209.8,PSB0301501968AM-126P,446.0,1,IPHQPD12,,,0.0,,8SW,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-20,2024-03-15,2024-03-15,2024-02-20,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,7.0,CORONA,33.8752935,-117.5664384
8,AMAZ,WZ2A502,23192.0,0.0,,CA,CORONA,TRM MANUFACTURING,W42A502,1.0,JZU,P,23209.8,PSB0301501968AM-126P,446.0,1,IPHQPD12,,,0.0,,8SW,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-20,2024-03-15,2024-03-15,2024-02-20,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,17.0,CORONA,33.8752935,-117.5664384
9,AMAZ,WZ2A502,23192.0,0.0,,CA,CORONA,TRM MANUFACTURING,W42A502,1.0,JZU,P,23209.8,PSB0301501968AM-126P,22746.0,51,CMHQAA6A,,,0.0,,8SW,T,RS,SW,Report run at 2024-3-4 H12M0,12,2024-03-04,,2024-02-27,2024-03-15,2024-03-15,2024-02-27,AmTopp Current Pickup Detail Report as of 2024-3-4 H12M0.xlsx,7.0,CORONA,33.8752935,-117.5664384
